Time [s],Channel 0
4.032036083,1
4.032053208,0
4.032087458,1
4.032096000,0
4.032113125,1
4.032121667,0
4.032130208,1
4.032138792,0
4.032173000,1
4.533747667,0
4.533773333,1
4.533781917,0
4.533790458,1
4.533799042,0
4.533807583,1
4.533816125,0
4.533824708,1
4.533833250,0
4.533841792,1
4.533850375,0
4.533858917,1
4.533867500,0
4.533876042,1
4.533901708,0
4.533910250,1
4.533918833,0
4.533935917,1
4.533944500,0
4.533961625,1
4.533987292,0
4.533995833,1
4.534004417,0
4.534012958,1
4.534030083,0
4.534038625,1
4.534047167,0
4.534055750,1
4.534072875,0
4.534081417,1
4.534089958,0
4.534098542,1
4.534107083,0
4.534124208,1
4.534132750,0
4.534141292,1
4.534158417,0
4.534167000,1
4.534175542,0
4.534184083,1
4.534201208,0
4.534218333,1
4.534244000,0
4.534252542,1
4.534261125,0
4.534295333,1
4.534303917,0
4.534312458,1
4.534329583,0
4.534338125,1
4.534346667,0
4.534398042,1
4.534406583,0
4.534423708,1
4.534432250,0
4.534440792,1
4.534449375,0
4.534483583,1
4.534500708,0
4.534509250,1
4.534517833,0
4.534534958,1
4.534543500,0
4.534560625,1
4.534586292,0
4.534594833,1
4.534603417,0
4.534620500,1
4.534629083,0
4.534646167,1
4.534671875,0
4.534680417,1
4.534688958,0
4.534697542,1
4.534706083,0
4.534714625,1
4.534723208,0
4.534731750,1
4.534757417,0
4.534766000,1
4.534774542,0
4.534783083,1
4.534800208,0
4.534817333,1
4.534843000,0
4.534851542,1
4.534860125,0
4.534902917,1
4.534928583,0
4.534937125,1
4.534945708,0
4.534954250,1
4.534962792,0
4.534971375,1
4.534979917,0
4.534988458,1
4.535014167,0
4.535022708,1
4.535031250,0
4.535039833,1
4.535056917,0
4.535082583,1
4.535099708,0
4.535108292,1
4.535116833,0
4.535151042,1
4.535159625,0
4.535168167,1
4.535185292,0
4.535193833,1
4.535202417,0
4.535210958,1
4.535219500,0
4.535228083,1
4.535236625,0
4.535245167,1
4.535270875,0
4.535279417,1
4.535287958,0
4.535296542,1
4.535313667,0
4.535339333,1
4.535356417,0
4.535365000,1
4.535373542,0
4.535407792,1
4.535416333,0
4.535424875,1
4.535442000,0
4.535450542,1
4.535459125,0
4.535467667,1
4.535476250,0
4.535484792,1
4.535493333,0
4.535501917,1
4.535527583,0
4.535536125,1
4.535544708,0
4.535553250,1
4.535561792,0
4.535570375,1
4.535587458,0
4.535621708,1
4.535630250,0
4.535647375,1
4.535655917,0
4.535664500,1
4.535673042,0
4.535707292,1
5.037282958,0
5.037308625,1
5.037317208,0
5.037325750,1
5.037334333,0
5.037342875,1
5.037351417,0
5.037360000,1
5.037368542,0
5.037377083,1
5.037385667,0
5.037394208,1
5.037402792,0
5.037411333,1
5.037437000,0
5.037445542,1
5.037454125,0
5.037471250,1
5.037479792,0
5.037496917,1
5.037522583,0
5.037531125,1
5.037539708,0
5.037548250,1
5.037565375,0
5.037573917,1
5.037582458,0
5.037591042,1
5.037608167,0
5.037616708,1
5.037625250,0
5.037633833,1
5.037642375,0
5.037659500,1
5.037668042,0
5.037676583,1
5.037693708,0
5.037702292,1
5.037710833,0
5.037719375,1
5.037736500,0
5.037753625,1
5.037779292,0
5.037787833,1
5.037796417,0
5.037830625,1
5.037839208,0
5.037847750,1
5.037864875,0
5.037873417,1
5.037882000,0
5.037933333,1
5.037941875,0
5.037959000,1
5.037967542,0
5.037976125,1
5.037984667,0
5.038018875,1
5.038036000,0
5.038044542,1
5.038053125,0
5.038070250,1
5.038078792,0
5.038095917,1
5.038121583,0
5.038130125,1
5.038138708,0
5.038155792,1
5.038164375,0
5.038181458,1
5.038207167,0
5.038215708,1
5.038224250,0
5.038232833,1
5.038241375,0
5.038249917,1
5.038258500,0
5.038267042,1
5.038292708,0
5.038301292,1
5.038309833,0
5.038318375,1
5.038335500,0
5.038352625,1
5.038378292,0
5.038386833,1
5.038395417,0
5.038438208,1
5.038463875,0
5.038472417,1
5.038481000,0
5.038489542,1
5.038498083,0
5.038506667,1
5.038515208,0
5.038523750,1
5.038549458,0
5.038558000,1
5.038566542,0
5.038575125,1
5.038592208,0
5.038617875,1
5.038635000,0
5.038643583,1
5.038652125,0
5.038686333,1
5.038694917,0
5.038703458,1
5.038720583,0
5.038729125,1
5.038737708,0
5.038746250,1
5.038754833,0
5.038763375,1
5.038771917,0
5.038780500,1
5.038806167,0
5.038814708,1
5.038823250,0
5.038831833,1
5.038848958,0
5.038874625,1
5.038891708,0
5.038900292,1
5.038908833,0
5.038943083,1
5.038951625,0
5.038960167,1
5.038977292,0
5.038985833,1
5.038994417,0
5.039002958,1
5.039011542,0
5.039020083,1
5.039028625,0
5.039037208,1
5.039062875,0
5.039071417,1
5.039080000,0
5.039088542,1
5.039097083,0
5.039105667,1
5.039122792,0
5.039157000,1
5.039165542,0
5.039182667,1
5.039191250,0
5.039199792,1
5.039208333,0
5.039242583,1
5.120000000,1
